city,number,year
aothers,85475,2001
NewTaipei,43538,2001
cTaipei,35733,2001
Taoyuan,64740,2001
Taichung,34315,2001
cTainan,19152,2001
Kaohsiung,21652,2001
aothers,85187,2002
NewTaipei,43031,2002
cTaipei,35289,2002
Taoyuan,65900,2002
Taichung,34112,2002
cTainan,18684,2002
Kaohsiung,21481,2002
aothers,84021,2003
NewTaipei,42056,2003
cTaipei,32334,2003
Taoyuan,67515,2003
Taichung,34091,2003
cTainan,18290,2003
Kaohsiung,21843,2003
aothers,88833,2004
NewTaipei,42214,2004
cTaipei,32534,2004
Taoyuan,70839,2004
Taichung,35486,2004
cTainan,19282,2004
Kaohsiung,24846,2004
aothers,95006,2005
NewTaipei,43478,2005
cTaipei,33907,2005
Taoyuan,71165,2005
Taichung,37669,2005
cTainan,20152,2005
Kaohsiung,26019,2005
aothers,98797,2006
NewTaipei,45099,2006
cTaipei,35627,2006
Taoyuan,70925,2006
Taichung,39883,2006
cTainan,22540,2006
Kaohsiung,25884,2006
aothers,103672,2007
NewTaipei,48893,2007
cTaipei,37211,2007
Taoyuan,72169,2007
Taichung,44427,2007
cTainan,24232,2007
Kaohsiung,27333,2007
aothers,107144,2008
NewTaipei,51038,2008
cTaipei,37246,2008
Taoyuan,69408,2008
Taichung,47354,2008
cTainan,25005,2008
Kaohsiung,27865,2008
aothers,106734,2009
NewTaipei,49469,2009
cTaipei,38026,2009
Taoyuan,63207,2009
Taichung,43801,2009
cTainan,23361,2009
Kaohsiung,26418,2009
aothers,117567,2010
NewTaipei,53647,2010
cTaipei,38951,2010
Taoyuan,67873,2010
Taichung,48804,2010
cTainan,24838,2010
Kaohsiung,27973,2010
aothers,130843,2011
NewTaipei,60636,2011
cTaipei,39885,2011
Taoyuan,73884,2011
Taichung,58028,2011
cTainan,31120,2011
Kaohsiung,31264,2011
aothers,138093,2012
NewTaipei,63134,2012
cTaipei,39764,2012
Taoyuan,75168,2012
Taichung,61185,2012
cTainan,34085,2012
Kaohsiung,34150,2012
aothers,151441,2013
NewTaipei,69703,2013
cTaipei,40700,2013
Taoyuan,82666,2013
Taichung,67274,2013
cTainan,39127,2013
Kaohsiung,38223,2013
aothers,169778,2014
NewTaipei,78100,2014
cTaipei,42266,2014
Taoyuan,92555,2014
Taichung,76205,2014
cTainan,48455,2014
Kaohsiung,44237,2014
aothers,179864,2015
NewTaipei,83253,2015
cTaipei,43827,2015
Taoyuan,96841,2015
Taichung,82537,2015
cTainan,52479,2015
Kaohsiung,49139,2015
aothers,192120,2016
NewTaipei,88713,2016
cTaipei,45168,2016
Taoyuan,101255,2016
Taichung,88993,2016
cTainan,55718,2016
Kaohsiung,52801,2016
aothers,210309,2017
NewTaipei,94597,2017
cTaipei,45936,2017
Taoyuan,110756,2017
Taichung,98622,2017
cTainan,58564,2017
Kaohsiung,57358,2017
